type_source,type,residential_type,count,fraction,description
yes,,,503064388,0.7975,A building of an unspecified type.
house,residential,detached single-family house,58709546,0.0931,A single dwelling unit usually inhabited by one family.
residential,residential,residential,15451006,0.0245,A general tag for a building constructed primarily for residential purposes.
detached,residential,detached single-family house,8310319,0.0132,A detached house: a free-standing residential building usually housing a single family.
garage,others,,7230561,0.0115,Denotes a single-owner private garage
apartments,residential,apartment block,6868592,0.0109,"A building arranged into individual dwellings, often on separate floors. May also have retail outlets on the ground floor."
shed,others,,3836859,0.0061,"A small, simple structure used as storage or workshop"
hut,residential,residential,2423959,0.0038,A small and crude shelter.
industrial,industrial,,2364843,0.0037,A building constructed to house some manufacturing process
farm_auxiliary,agricultural,,2164260,0.0034,A building on a farm that is not a dwelling.
roof,others,,2018935,0.0032,A building open on at least two sides.
terrace,residential,terraced house,1704126,0.0027,"The outline of a linear row of residential dwellings, each of which normally has its own entrance, which form a terrace (""row-house"" or ""townhouse"" in North American English)."
semidetached_house,residential,semi-detached duplex house,1503182,0.0024,A house that shares a common wall with another on one side.
commercial,commercial,,1288208,0.002,A building constructed for non-specific commercial activities to take place there.
school,public,,1237775,0.002,A generic school building.
retail,commercial,,1094758,0.0017,A building primarily used for selling goods to the public.
construction,others,,1050161,0.0017,A building under construction
garages,others,,946131,0.0015,A block of private garages each with a separate owner.
outbuilding,,,923139,0.0015,A less important building near to and on the same piece of land as a larger building
barn,agricultural,,751119,0.0012,An agricultural building that can be used for storage and as a covered workplace.
greenhouse,agricultural,,725353,0.0011,A building in which plants are grown
cabin,residential,detached single-family house,645265,0.001,"A small, roughly built house typically found in rural areas."
service,industrial,,473663,0.0008,Service building usually is a small unmanned building with certain machinery (like pumps or transformers).
static_caravan,residential,residential,455777,0.0007,A mobile home (caravan) (semi)permanently left on a single site.
warehouse,industrial,,413460,0.0007,A commercial building for storage of goods.
church,public,,403429,0.0006,A building that was built as a church.
farm,agricultural,,395488,0.0006,A farmhouse is the main building of a farm
bungalow,residential,detached single-family house,392693,0.0006,Simple single-storey flat house.
office,commercial,,269127,0.0004,A building which contains spaces mainly designed to be used for offices.
allotment_house,residential,detached single-family house,258825,0.0004,A small outbuilding for short visits in a allotment garden.
carport,others,,250006,0.0004,"A carport is a covered structure used to offer limited protection to vehicles, primarily cars, from the elements."
ruins,others,,236505,0.0004,"Frequently used to mark ruined buildings. However, this usage conflicts with general use of building tag. In theory it should only be used for buildings constructed to look like ruins."
civic,public,,187520,0.0003,"A building hosting any civic amenity (town hall, library, swimming pool)."
public,public,,167397,0.0003,"A building constructed as accessible to the public (town hall, police station, court house)."
university,public,,162167,0.0003,A university building.
hospital,public,,149653,0.0002,A building which forms part of a hospital.
hotel,commercial,,140014,0.0002,A building designed with separate rooms available for overnight accommodation.
boathouse,others,,115398,0.0002,A building for storing boats
kindergarten,public,,112115,0.0002,A generic kindergarten building.
chapel,public,,108116,0.0002,Building built as chapel.
manufacture,industrial,,99829,0.0002,"A building constructed to house some manufacturing process, see also tag:building=industrial."
mosque,public,,98404,0.0002,A building that was built as a mosque.
ger,others,,91456,0.0001,"A portable, round tent (yurt or ger)"
storage_tank,industrial,,89032,0.0001,A storage tank
hangar,industrial,,86503,0.0001,"A building used for the storage of aeroplanes, helicopters or space-craft."
dormitory,residential,apartment block,64680,0.0001,College or university dormitory for shared living of its students.
bunker,others,,63147,0.0001,A hardened military building.
train_station,public,,54468,0.0001,A train station building
silo,industrial,,53383,0.0001,A silo is a building for storing bulk materials.
collapsed,others,,51983,0.0001,
college,public,,49519,0.0001,A building constructed to house a college.
stable,agricultural,,47935,0.0001,A building constructed as a stable for horses
transformer_tower,industrial,,43974,0.0001,A small but tall building constructed to comprise a transformer and connect to an overhead power line.
transportation,public,,39812,0.0001,A building related to the public transportation.
slurry_tank,industrial,,39733,0.0001,A cylindrical concrete structure holding liquid manure.
cowshed,agricultural,,27838,0.0,A building for housing cows.
semi,residential,semi-detached duplex house,27465,0.0,A semi-detached house.
temple,public,,26956,0.0,A building that was built as a temple
government,public,,26479,0.0,A building built to house government offices.
sty,agricultural,,26260,0.0,A building for raising domestic pigs.
toilets,public,,26021,0.0,A building designed for toilets.
parking,commercial,,25637,0.0,Structure purpose-built for parking cars.
fire_station,public,,25419,0.0,A building constructed to house fire fighting equipment.
commercial;residential,commercial,,23445,0.0,
grandstand,public,,21461,0.0,A grandstand at racecourse or sports ground.
kiosk,commercial,,20717,0.0,"A small one room retail building, with clients not entering the building."
agricultural,agricultural,,18151,0.0,
houseboat,residential,residential,16979,0.0,"A boat (re)constructed as a floating home, staying at a single permanent location."
